study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	library_layout	read_count	experiment_title	experiment_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
PRJNA904727	SAMN31851769	SRX18362933	SRR22392849	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753712	SINGLE	18588232	NextSeq 2000 sequencing: GSM6753712: II_E10_S346 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753712_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/049/SRR22392849/SRR22392849.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/049/SRR22392849	II_E10_S346	
PRJNA904727	SAMN31851772	SRX18362930	SRR22392852	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753709	SINGLE	10008978	NextSeq 2000 sequencing: GSM6753709: II_D10_S334 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753709_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/052/SRR22392852/SRR22392852.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/052/SRR22392852	II_D10_S334	
PRJNA904727	SAMN31851792	SRX18362926	SRR22392856	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753689	SINGLE	6375429	NextSeq 2000 sequencing: GSM6753689: I_E2_S242 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753689_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/056/SRR22392856/SRR22392856.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/056/SRR22392856	I_E2_S242	
PRJNA904727	SAMN31851794	SRX18362924	SRR22392858	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753687	SINGLE	7069371	NextSeq 2000 sequencing: GSM6753687: I_D3_S231 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753687_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/058/SRR22392858/SRR22392858.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/058/SRR22392858	I_D3_S231	
PRJNA904727	SAMN31851796	SRX18362922	SRR22392860	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753685	SINGLE	10163796	NextSeq 2000 sequencing: GSM6753685: I_D1_S229 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753685_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/060/SRR22392860/SRR22392860.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/060/SRR22392860	I_D1_S229	
PRJNA904727	SAMN31851812	SRX18362914	SRR22392868	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753669	SINGLE	12653181	NextSeq 2000 sequencing: GSM6753669: IV_F3_S159 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753669_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/068/SRR22392868/SRR22392868.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/068/SRR22392868	IV_F3_S159	
PRJNA904727	SAMN31851885	SRX18362913	SRR22392869	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753596	SINGLE	10133201	NextSeq 2000 sequencing: GSM6753596: I_F11_S263 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753596_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/069/SRR22392869/SRR22392869.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/069/SRR22392869	I_F11_S263	
PRJNA904727	SAMN31851887	SRX18362911	SRR22392871	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753594	SINGLE	10453077	NextSeq 2000 sequencing: GSM6753594: I_E12_S252 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753594_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/071/SRR22392871/SRR22392871.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/071/SRR22392871	I_E12_S252	
PRJNA904727	SAMN31851888	SRX18362910	SRR22392872	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753593	SINGLE	8985258	NextSeq 2000 sequencing: GSM6753593: I_E11_S251 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753593_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/072/SRR22392872/SRR22392872.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/072/SRR22392872	I_E11_S251	
PRJNA904727	SAMN31851890	SRX18362908	SRR22392874	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753591	SINGLE	7439186	NextSeq 2000 sequencing: GSM6753591: I_D12_S240 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753591_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/074/SRR22392874/SRR22392874.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/074/SRR22392874	I_D12_S240	
PRJNA904727	SAMN31851905	SRX18362901	SRR22392881	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753576	SINGLE	7579074	NextSeq 2000 sequencing: GSM6753576: IV_G12_S180 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753576_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/081/SRR22392881/SRR22392881.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/081/SRR22392881	IV_G12_S180	
PRJNA904727	SAMN31851908	SRX18362898	SRR22392884	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753573	SINGLE	7179861	NextSeq 2000 sequencing: GSM6753573: IV_F12_S168 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753573_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/084/SRR22392884/SRR22392884.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/084/SRR22392884	IV_F12_S168	
PRJNA904727	SAMN31851933	SRX18362897	SRR22392885	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753548	SINGLE	12236752	NextSeq 2000 sequencing: GSM6753548: III_F2_S62 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753548_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/085/SRR22392885/SRR22392885.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/085/SRR22392885	III_F2_S62	
PRJNA904727	SAMN31851957	SRX18362889	SRR22392893	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753524	SINGLE	7069333	NextSeq 2000 sequencing: GSM6753524: II_F5_S353 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753524_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/093/SRR22392893/SRR22392893.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/093/SRR22392893	II_F5_S353	
PRJNA904727	SAMN31851958	SRX18362888	SRR22392894	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753523	SINGLE	6437150	NextSeq 2000 sequencing: GSM6753523: II_F4_S352 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753523_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/094/SRR22392894/SRR22392894.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/094/SRR22392894	II_F4_S352	
PRJNA904727	SAMN31851960	SRX18362886	SRR22392896	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753521	SINGLE	9777569	NextSeq 2000 sequencing: GSM6753521: II_E5_S341 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753521_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/096/SRR22392896/SRR22392896.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/096/SRR22392896	II_E5_S341	
PRJNA904727	SAMN31851961	SRX18362885	SRR22392897	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753520	SINGLE	7822614	NextSeq 2000 sequencing: GSM6753520: II_E4_S340 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753520_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/097/SRR22392897/SRR22392897.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/097/SRR22392897	II_E4_S340	
PRJNA904727	SAMN31851963	SRX18362883	SRR22392899	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753518	SINGLE	8514958	NextSeq 2000 sequencing: GSM6753518: II_D5_S329 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753518_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/099/SRR22392899/SRR22392899.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/099/SRR22392899	II_D5_S329	
PRJNA904727	SAMN31851981	SRX18362881	SRR22392901	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753500	SINGLE	8974061	NextSeq 2000 sequencing: GSM6753500: I_F8_S260 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753500_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/001/SRR22392901/SRR22392901.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/001/SRR22392901	I_F8_S260	
PRJNA904727	SAMN31851983	SRX18362879	SRR22392903	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753498	SINGLE	6878058	NextSeq 2000 sequencing: GSM6753498: I_E9_S249 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753498_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/003/SRR22392903/SRR22392903.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/003/SRR22392903	I_E9_S249	
PRJNA904727	SAMN31851985	SRX18362877	SRR22392905	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753496	SINGLE	6775168	NextSeq 2000 sequencing: GSM6753496: I_E7_S247 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753496_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/005/SRR22392905/SRR22392905.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/005/SRR22392905	I_E7_S247	
PRJNA904727	SAMN31851986	SRX18362876	SRR22392906	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753495	SINGLE	8539688	NextSeq 2000 sequencing: GSM6753495: I_D9_S237 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753495_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/006/SRR22392906/SRR22392906.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/006/SRR22392906	I_D9_S237	
PRJNA904727	SAMN31851768	SRX18362934	SRR22392848	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753713	SINGLE	19397192	NextSeq 2000 sequencing: GSM6753713: II_E11_S347 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753713_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/048/SRR22392848/SRR22392848.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/048/SRR22392848	II_E11_S347	
PRJNA904727	SAMN31851770	SRX18362932	SRR22392850	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753711	SINGLE	8675164	NextSeq 2000 sequencing: GSM6753711: II_D12_S336 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753711_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/050/SRR22392850/SRR22392850.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/050/SRR22392850	II_D12_S336	
PRJNA904727	SAMN31851790	SRX18362928	SRR22392854	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753691	SINGLE	20567936	NextSeq 2000 sequencing: GSM6753691: I_F1_S253 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753691_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/054/SRR22392854/SRR22392854.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/054/SRR22392854	I_F1_S253	
PRJNA904727	SAMN31851791	SRX18362927	SRR22392855	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753690	SINGLE	8450664	NextSeq 2000 sequencing: GSM6753690: I_E3_S243 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753690_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/055/SRR22392855/SRR22392855.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/055/SRR22392855	I_E3_S243	
PRJNA904727	SAMN31851805	SRX18362921	SRR22392861	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753676	SINGLE	16193298	NextSeq 2000 sequencing: GSM6753676: I_A1_S193 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753676_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/061/SRR22392861/SRR22392861.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/061/SRR22392861	I_A1_S193	
PRJNA904727	SAMN31851811	SRX18362915	SRR22392867	90371	Salmonella enterica subsp. enterica serovar Typhimurium	GSM6753670	SINGLE	10428719	NextSeq 2000 sequencing: GSM6753670: IV_G1_S169 Salmonella enterica subsp. enterica serovar Typhimurium RNA-Seq	GSM6753670_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR223/067/SRR22392867/SRR22392867.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR223/067/SRR22392867	IV_G1_S169	
