ID	No.cells	Condition	fastq_reads
M2A11	1	Anerobic_shock	84833666
M2A12	1	Anerobic_shock	104524090
M2B11	1	Anerobic_shock	65708255
M2B12	1	Anerobic_shock	77040096
M2C10	1	Anerobic_shock	74440733
M2C11	1	Anerobic_shock	78804561
M2D10	1	Anerobic_shock	113209054
M2D11	1	Anerobic_shock	28897430
M2E10	1	Anerobic_shock	60860706
M2E11	1	Anerobic_shock	90146475
M2F10	1	Anerobic_shock	71153546
M2F11	1	Anerobic_shock	76095911
M2G10	1	Anerobic_shock	78267335
M2G11	1	Anerobic_shock	75910403
M2H10	1	Anerobic_shock	61405000
M2H11	1	Anerobic_shock	63113627
M3A5	1	Anerobic_shock	83454034
M3A6	1	Anerobic_shock	78692272
M3B5	1	Anerobic_shock	74814742
M3C5	1	Anerobic_shock	73502542
M3D5	1	Anerobic_shock	66812246
M3E5	1	Anerobic_shock	100967319
M3F4	1	Anerobic_shock	105172346
M3F5	1	Anerobic_shock	102156538
M3G4	1	Anerobic_shock	71210796
M3G5	1	Anerobic_shock	64055463
M3H4	1	Anerobic_shock	74348546
M3H5	1	Anerobic_shock	101750120
M1A1	1	Stationary_phase	59566893
M1A2	1	Stationary_phase	49978166
M1A3	1	Stationary_phase	72111857
M1B1	1	Stationary_phase	60435392
M1B2	1	Stationary_phase	29564219
M1B3	1	Stationary_phase	74915533
M1B4	1	Stationary_phase	61952355
M1C2	1	Stationary_phase	39690398
M1C4	1	Stationary_phase	55590147
M1D2	1	Stationary_phase	49631331
M1E2	1	Stationary_phase	70212332
M1E3	1	Stationary_phase	62856421
M1F2	1	Stationary_phase	68788110
M1F3	1	Stationary_phase	51755776
M1F4	1	Stationary_phase	55305588
M1G2	1	Stationary_phase	62081674
M1G3	1	Stationary_phase	62553066
M1H2	1	Stationary_phase	67439073
M1H3	1	Stationary_phase	39147001
M2A10	1	NACL_shock	25565718
M2A8	1	NACL_shock	44156529
M2A9	1	NACL_shock	58797201
M2B10	1	NACL_shock	39500207
M2B8	1	NACL_shock	43521144
M2B9	1	NACL_shock	101990448
M2C7	1	NACL_shock	101186516
M2C8	1	NACL_shock	59998415
M2C9	1	NACL_shock	59161107
M2D7	1	NACL_shock	62691999
M2D8	1	NACL_shock	52921964
M2D9	1	NACL_shock	68638618
M2E7	1	NACL_shock	68086890
M2E8	1	NACL_shock	110179884
M2E9	1	NACL_shock	100184798
M2F7	1	NACL_shock	36407109
M2F8	1	NACL_shock	38895860
M2F9	1	NACL_shock	67632751
M2G7	1	NACL_shock	37768655
M2G8	1	NACL_shock	29175822
M2G9	1	NACL_shock	51748535
M2H7	1	NACL_shock	86440264
M2H8	1	NACL_shock	40314433
M2H9	1	NACL_shock	64035665
M2A7	10	Anerobic_shock	88887888
M2B6	10	Anerobic_shock	60485950
M2B7	10	Anerobic_shock	87723110
M2C6	10	Anerobic_shock	41223203
M2D6	10	Anerobic_shock	48000599
M2E6	10	Anerobic_shock	51710971
M2F6	10	Anerobic_shock	50909298
M2G6	10	Anerobic_shock	32452838
M3A7	10	Anerobic_shock	46033573
M3B4	10	Anerobic_shock	92243944
M3C4	10	Anerobic_shock	71416819
M3C6	10	Anerobic_shock	24838938
M3C7	10	Anerobic_shock	26287082
M3D4	10	Anerobic_shock	104012036
M3E4	10	Anerobic_shock	110058707
M3E6	10	Anerobic_shock	26163345
M3E7	10	Anerobic_shock	22573291
M3F6	10	Anerobic_shock	31941827
M3G6	10	Anerobic_shock	57860810
M3H6	10	Anerobic_shock	30299749
M1A12	10	Stationary_phase	62274214
M1A6	10	Stationary_phase	47865011
M1A7	10	Stationary_phase	70163308
M1B7	10	Stationary_phase	67083326
M1C5	10	Stationary_phase	50306523
M1D6	10	Stationary_phase	51240652
M1E11	10	Stationary_phase	62221476
M1E5	10	Stationary_phase	90625418
M1F11	10	Stationary_phase	45422396
M1F5	10	Stationary_phase	67721483
M1F6	10	Stationary_phase	78835264
M1F7	10	Stationary_phase	42031075
M1F9	10	Stationary_phase	49990012
M1G6	10	Stationary_phase	55140631
M1H11	10	Stationary_phase	56719009
M1H5	10	Stationary_phase	51880281
M2A2	10	Stationary_phase	48106224
M2A3	10	Stationary_phase	34438873
M2B3	10	Stationary_phase	41365505
M2G2	10	Stationary_phase	42219244
M2A5	10	NACL_shock	87847493
M2B5	10	NACL_shock	83906085
M2C3	10	NACL_shock	78393150
M2C4	10	NACL_shock	59221853
M2D3	10	NACL_shock	72804842
M2D4	10	NACL_shock	43372974
M2E3	10	NACL_shock	62593986
M2E4	10	NACL_shock	63459886
M2E5	10	NACL_shock	69902439
M2F3	10	NACL_shock	62872562
M2F4	10	NACL_shock	67526374
M2G3	10	NACL_shock	65187745
M2G4	10	NACL_shock	61258495
M2G5	10	NACL_shock	40304657
M2H3	10	NACL_shock	55972145
M2H4	10	NACL_shock	56162982
M2H5	10	NACL_shock	43983726
M3A1	10	NACL_shock	46641082
M3A2	10	NACL_shock	50347218
M3A3	10	NACL_shock	41319736
